Variable L: j, s
439931950, 39, 4
439931950, 39, 5
439931950, 39, 6
439931950, 39, 7
439931950, 39, 8
439931950, 39, 9
439931950, 39, 10
439931950, 39, 11
439931950, 39, 12
439931950, 39, 13
439931950, 39, 14
439931950, 39, 15
439931950, 39, 16
439931950, 39, 17
439931950, 39, 18
439931950, 39, 19
12844814, 40, 1
19611145, 40, 2
28241459, 40, 3
18096949, 40, 4
19351298, 40, 5
14525293, 40, 6
38015462, 40, 7
15601996, 40, 8
8174694, 40, 9
10893799, 40, 10
27080259, 40, 11
11755887, 40, 12
15880252, 40, 13
36518590, 40, 14
17359392, 40, 15
31195009, 40, 16
6678351, 40, 17
27625629, 40, 18
44645020, 40, 19
27113728, 41, 1
29995455, 41, 2
15269510, 41, 3
8943297, 41, 4
37724169, 41, 5
9571036, 41, 6
11954299, 41, 7
15827822, 41, 8
328132648, 41, 9
7851441, 41, 10
18164990, 41, 11
19207896, 41, 12
11113906, 41, 13
25809965, 41, 14
21604461, 41, 15
439931950, 41, 16
29899877, 41, 17
9241426, 41, 18
18084520, 41, 19
4587791, 42, 1
19807709, 42, 2
35788185, 42, 3
22603586, 42, 4
18999570, 42, 5
5572350, 42, 6
35954953, 42, 7
15741400, 42, 8
27357469, 42, 9
12864697, 42, 10
27557775, 42, 11
18977479, 42, 12
11567076, 42, 13
24165932, 42, 14
10823727, 42, 15
14424655, 42, 16
111243854, 42, 17
18585797, 42, 18
7047102, 42, 19
10539511, 43, 1
17917495, 43, 2
29016137, 43, 3
19999259, 43, 4
23533579, 43, 5
16158653, 43, 6
11260159, 43, 7
28925425, 43, 8
13979041, 43, 9
14017975, 43, 10
13320333, 43, 11
31592780, 43, 12
10957091, 43, 13
5561205, 43, 14
14307293, 43, 15
9841384, 43, 16
6699737, 43, 17
7338263, 43, 18
12384479, 43, 19
27240927, 44, 1
24937141, 44, 2
22193624, 44, 3
15399322, 44, 4
31258208, 44, 5
24655614, 44, 6
22015066, 44, 7
31664146, 44, 8
29586524, 44, 9
14486222, 44, 10
18225644, 44, 11
9131137, 44, 12
24886622, 44, 13
12017233, 44, 14
18565475, 44, 15
7244498, 44, 16
7380577, 44, 17
21594876, 44, 18
17771756, 44, 19
5845658, 45, 1
7387085, 45, 2
355657236, 45, 3
10054468, 45, 4
39249207, 45, 5
