Variable QN: i, j, s
0, Acelga Fresca, 16, 18
1000000, Acelga Fresca, 16, 19
0, Acelga Fresca, 17, 1
0, Acelga Fresca, 17, 2
64477, Acelga Fresca, 17, 3
0, Acelga Fresca, 17, 4
0, Acelga Fresca, 17, 5
0, Acelga Fresca, 17, 6
0, Acelga Fresca, 17, 7
0, Acelga Fresca, 17, 8
0, Acelga Fresca, 17, 9
0, Acelga Fresca, 17, 10
0, Acelga Fresca, 17, 11
0, Acelga Fresca, 17, 12
0, Acelga Fresca, 17, 13
0, Acelga Fresca, 17, 14
1000000, Acelga Fresca, 17, 15
0, Acelga Fresca, 17, 16
0, Acelga Fresca, 17, 17
0, Acelga Fresca, 17, 18
0, Acelga Fresca, 17, 19
0, Acelga Fresca, 18, 1
0, Acelga Fresca, 18, 2
1000000, Acelga Fresca, 18, 3
1000000, Acelga Fresca, 18, 4
1000000, Acelga Fresca, 18, 5
0, Acelga Fresca, 18, 6
1000000, Acelga Fresca, 18, 7
0, Acelga Fresca, 18, 8
0, Acelga Fresca, 18, 9
0, Acelga Fresca, 18, 10
0, Acelga Fresca, 18, 11
0, Acelga Fresca, 18, 12
0, Acelga Fresca, 18, 13
1000000, Acelga Fresca, 18, 14
1000000, Acelga Fresca, 18, 15
0, Acelga Fresca, 18, 16
0, Acelga Fresca, 18, 17
0, Acelga Fresca, 18, 18
0, Acelga Fresca, 18, 19
1000000, Acelga Fresca, 19, 1
0, Acelga Fresca, 19, 2
1000000, Acelga Fresca, 19, 3
0, Acelga Fresca, 19, 4
1000000, Acelga Fresca, 19, 5
0, Acelga Fresca, 19, 6
1000000, Acelga Fresca, 19, 7
0, Acelga Fresca, 19, 8
0, Acelga Fresca, 19, 9
0, Acelga Fresca, 19, 10
0, Acelga Fresca, 19, 11
0, Acelga Fresca, 19, 12
0, Acelga Fresca, 19, 13
0, Acelga Fresca, 19, 14
0, Acelga Fresca, 19, 15
0, Acelga Fresca, 19, 16
64477, Acelga Fresca, 19, 17
1000000, Acelga Fresca, 19, 18
0, Acelga Fresca, 19, 19
0, Acelga Fresca, 20, 1
0, Acelga Fresca, 20, 2
116440, Acelga Fresca, 20, 3
0, Acelga Fresca, 20, 4
1000000, Acelga Fresca, 20, 5
0, Acelga Fresca, 20, 6
0, Acelga Fresca, 20, 7
0, Acelga Fresca, 20, 8
0, Acelga Fresca, 20, 9
0, Acelga Fresca, 20, 10
0, Acelga Fresca, 20, 11
0, Acelga Fresca, 20, 12
0, Acelga Fresca, 20, 13
0, Acelga Fresca, 20, 14
0, Acelga Fresca, 20, 15
0, Acelga Fresca, 20, 16
0, Acelga Fresca, 20, 17
0, Acelga Fresca, 20, 18
0, Acelga Fresca, 20, 19
0, Acelga Fresca, 21, 1
